,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000102693,0.0,,,,,
ENSMUSG00000064842,0.0,,,,,
ENSMUSG00000051951,2.2495627496799466,2.0965093779990975,2.187819382944038,0.9582643770062641,0.33792946203639807,
ENSMUSG00000102851,0.0,,,,,
ENSMUSG00000103377,0.3535533905932738,-1.6399472977376648,5.256475894249345,-0.3119860778838136,0.7550511038844963,
ENSMUSG00000104017,0.0,,,,,
ENSMUSG00000103025,0.0,,,,,
ENSMUSG00000089699,0.0,,,,,
ENSMUSG00000103201,0.0,,,,,
ENSMUSG00000103147,0.0,,,,,
ENSMUSG00000103161,0.0,,,,,
ENSMUSG00000102331,0.3290185032381231,2.154950214460369,5.337150365837652,0.4037641937641296,0.6863861291714062,
ENSMUSG00000102348,0.0,,,,,
ENSMUSG00000102592,0.0,,,,,
ENSMUSG00000088333,0.0,,,,,
ENSMUSG00000102343,0.0,,,,,
ENSMUSG00000025900,0.0,,,,,
ENSMUSG00000102948,0.0,,,,,
ENSMUSG00000104123,0.0,,,,,
ENSMUSG00000025902,0.1767766952966369,-0.7405060970833712,5.350725015697783,-0.13839359991606717,0.8899293548737048,
ENSMUSG00000104238,0.0,,,,,
ENSMUSG00000102269,0.0,,,,,
ENSMUSG00000096126,0.0,,,,,
ENSMUSG00000103003,0.0,,,,,
ENSMUSG00000104328,0.0,,,,,
ENSMUSG00000102735,0.0,,,,,
ENSMUSG00000098104,0.6490976434067662,-0.24561124378783872,2.923220263785565,-0.08402077901231178,0.9330399109196804,
ENSMUSG00000102175,0.0,,,,,
ENSMUSG00000088000,0.0,,,,,
ENSMUSG00000103265,0.0,,,,,
ENSMUSG00000103922,0.22141149118718065,-0.904809229902797,5.329017666692053,-0.16978912184099595,0.8651759822251803,
ENSMUSG00000033845,1.716483381832743,0.23014160022469612,1.5002673082878009,0.15340039668487357,0.8780825320798746,
ENSMUSG00000102275,0.0,,,,,
ENSMUSG00000025903,0.47232094811012937,0.6735719672607892,2.921718274322089,0.23053967015936014,0.8176724411941704,
ENSMUSG00000104217,0.0,,,,,
ENSMUSG00000033813,1.490108812264945,-1.940821079699969,1.9643422949605345,-0.9880259080502882,0.32313995993194466,
ENSMUSG00000062588,0.3535533905932738,-1.6399472977376648,5.256475894249345,-0.3119860778838136,0.7550511038844963,
ENSMUSG00000103280,0.0,,,,,
ENSMUSG00000002459,0.4428229823743613,-1.9351121890664773,5.236083379310824,-0.36957245499806723,0.7117010779313117,
ENSMUSG00000091305,0.0,,,,,
ENSMUSG00000102653,0.1767766952966369,-0.7405060970833712,5.350725015697783,-0.13839359991606717,0.8899293548737048,
ENSMUSG00000085623,0.0,,,,,
ENSMUSG00000091665,0.0,,,,,
ENSMUSG00000033793,1.978553384221605,0.5946191529617768,2.0309356936287193,0.2927808865771408,0.7696896386941711,
ENSMUSG00000104352,0.0,,,,,
ENSMUSG00000104046,0.0,,,,,
ENSMUSG00000102907,0.0,,,,,
ENSMUSG00000025905,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000103936,0.0,,,,,
ENSMUSG00000093015,0.0,,,,,
ENSMUSG00000103519,0.0,,,,,
ENSMUSG00000033774,0.0,,,,,
ENSMUSG00000103090,0.0,,,,,
ENSMUSG00000025907,3.2673432278616534,0.5184923080206009,1.5185784645177816,0.3414326754496983,0.7327778799329251,
ENSMUSG00000090031,0.39818818648381754,-1.7893588343663258,3.3048949246667054,-0.5414268456800575,0.5882134076021875,
ENSMUSG00000087247,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000103355,0.39818818648381754,-1.7893588343663258,3.3048949246667054,-0.5414268456800575,0.5882134076021875,
ENSMUSG00000102706,0.0,,,,,
ENSMUSG00000103845,0.7517415770770913,-2.7256340845061446,3.2348983582493127,-0.8425717851553224,0.3994679764261925,
ENSMUSG00000033740,1.5927527459352702,-3.7925242677685165,2.9536214388230353,-1.2840251692105027,0.19913314895703482,
ENSMUSG00000103329,0.0,,,,,
ENSMUSG00000104385,0.0,,,,,
ENSMUSG00000102135,0.0,,,,,
ENSMUSG00000103282,0.0,,,,,
ENSMUSG00000102534,0.0,,,,,
ENSMUSG00000102213,0.0,,,,,
ENSMUSG00000103629,0.0,,,,,
ENSMUSG00000051285,2.6945995284776325,0.41476942291640456,1.284457177325072,0.32291416968853465,0.7467602448565623,
ENSMUSG00000098201,0.0,,,,,
ENSMUSG00000103509,0.39818818648381754,-1.7893588343663258,3.3048949246667054,-0.5414268456800575,0.5882134076021875,
ENSMUSG00000048538,0.0,,,,,
ENSMUSG00000103709,0.0,,,,,
ENSMUSG00000077244,0.0,,,,,
ENSMUSG00000102768,0.0,,,,,
ENSMUSG00000097797,0.0,,,,,
