"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000102693",0,0,0,0
"ENSMUSG00000064842",0,0,0,0
"ENSMUSG00000051951",2,2,1,1
"ENSMUSG00000102851",0,0,0,0
"ENSMUSG00000103377",0,0,0,0
"ENSMUSG00000104017",0,0,0,0
"ENSMUSG00000103025",0,0,0,0
"ENSMUSG00000089699",0,0,0,0
"ENSMUSG00000103201",0,0,0,0
"ENSMUSG00000103147",0,0,0,0
"ENSMUSG00000103161",0,0,0,0
"ENSMUSG00000102331",0,2,0,1
"ENSMUSG00000102348",0,0,0,0
"ENSMUSG00000102592",0,0,0,0
"ENSMUSG00000088333",0,0,0,0
"ENSMUSG00000102343",0,0,0,0
"ENSMUSG00000025900",0,0,0,0
"ENSMUSG00000102948",0,0,0,0
"ENSMUSG00000104123",0,0,0,0
"ENSMUSG00000025902",4,3,0,2
"ENSMUSG00000104238",0,0,0,0
"ENSMUSG00000102269",1,0,1,0
"ENSMUSG00000096126",0,0,1,0
"ENSMUSG00000103003",0,0,0,0
"ENSMUSG00000104328",0,0,0,0
"ENSMUSG00000102735",0,0,0,0
"ENSMUSG00000098104",2,5,4,3
"ENSMUSG00000102175",0,0,0,0
"ENSMUSG00000088000",0,0,0,0
"ENSMUSG00000103265",0,0,0,0
"ENSMUSG00000103922",15,9,16,10
"ENSMUSG00000033845",5,6,9,9
"ENSMUSG00000102275",1,0,0,0
"ENSMUSG00000025903",1,0,2,2
"ENSMUSG00000104217",0,0,0,0
"ENSMUSG00000033813",10,3,12,12
"ENSMUSG00000062588",6,4,6,1
"ENSMUSG00000103280",1,0,0,0
"ENSMUSG00000002459",1,4,8,5
"ENSMUSG00000091305",0,0,0,0
"ENSMUSG00000102653",0,0,0,0
"ENSMUSG00000085623",0,0,0,0
"ENSMUSG00000091665",0,0,0,0
"ENSMUSG00000033793",7,6,7,10
"ENSMUSG00000104352",0,0,0,0
"ENSMUSG00000104046",0,0,0,0
"ENSMUSG00000102907",0,0,0,0
"ENSMUSG00000025905",0,1,0,0
"ENSMUSG00000103936",0,0,0,0
"ENSMUSG00000093015",0,0,0,0
"ENSMUSG00000103519",0,0,0,0
"ENSMUSG00000033774",1,0,0,2
"ENSMUSG00000103090",0,0,0,0
"ENSMUSG00000025907",10,6,13,9
"ENSMUSG00000090031",0,0,2,0
"ENSMUSG00000087247",0,0,0,0
"ENSMUSG00000103355",0,1,0,0
"ENSMUSG00000102706",0,0,0,0
"ENSMUSG00000103845",0,0,0,0
"ENSMUSG00000033740",2,2,3,1
"ENSMUSG00000103329",0,0,0,0
"ENSMUSG00000104385",0,0,0,0
"ENSMUSG00000102135",0,0,0,0
"ENSMUSG00000103282",0,0,0,0
"ENSMUSG00000102534",0,0,0,0
"ENSMUSG00000102213",0,0,0,0
"ENSMUSG00000103629",0,0,0,0
"ENSMUSG00000051285",22,15,26,19
"ENSMUSG00000098201",0,0,0,0
"ENSMUSG00000103509",0,0,0,0
"ENSMUSG00000048538",2,2,2,1
"ENSMUSG00000103709",0,0,0,0
"ENSMUSG00000077244",0,0,0,0
"ENSMUSG00000102768",0,0,0,0
"ENSMUSG00000097797",0,0,0,0
"ENSMUSG00000103498",0,0,0,0
"ENSMUSG00000103067",0,0,0,0
"ENSMUSG00000102320",0,0,0,0
"ENSMUSG00000104226",0,0,0,0
"ENSMUSG00000103903",0,0,0,0
"ENSMUSG00000103557",0,0,0,0
"ENSMUSG00000025909",2,1,3,3
"ENSMUSG00000102647",0,0,0,0
"ENSMUSG00000086235",0,0,0,0
"ENSMUSG00000102253",0,0,0,0
"ENSMUSG00000093970",0,0,0,0
"ENSMUSG00000103884",0,0,0,0
"ENSMUSG00000084353",0,0,0,0
"ENSMUSG00000103933",0,0,0,0
"ENSMUSG00000076135",0,0,0,0
"ENSMUSG00000086195",0,0,0,0
"ENSMUSG00000104504",0,0,0,0
"ENSMUSG00000066693",0,0,0,0
"ENSMUSG00000102316",0,0,0,0
"ENSMUSG00000103819",1,0,0,0
"ENSMUSG00000102871",0,0,0,0
"ENSMUSG00000101571",0,0,0,0
"ENSMUSG00000104428",0,0,0,0
"ENSMUSG00000102272",0,0,0,0
"ENSMUSG00000065625",0,0,0,0
"ENSMUSG00000103411",0,0,0,0
"ENSMUSG00000061024",5,6,3,8
"ENSMUSG00000025911",2,3,3,4
"ENSMUSG00000079671",1,0,0,0
"ENSMUSG00000081441",0,0,0,0
"ENSMUSG00000067879",76,48,60,57
"ENSMUSG00000099827",0,0,0,0
"ENSMUSG00000025912",0,0,0,1
"ENSMUSG00000045210",10,1,7,12
"ENSMUSG00000097893",0,0,0,0
"ENSMUSG00000025915",3,2,1,5
"ENSMUSG00000046334",0,0,1,0
"ENSMUSG00000088916",0,0,0,0
"ENSMUSG00000046101",0,0,0,2
"ENSMUSG00000098234",1,1,0,1
"ENSMUSG00000093178",0,0,0,0
"ENSMUSG00000099032",0,0,0,0
"ENSMUSG00000104025",0,0,0,0
"ENSMUSG00000025916",0,0,0,0
"ENSMUSG00000087199",0,0,0,0
"ENSMUSG00000095780",0,0,0,0
"ENSMUSG00000025917",9,14,11,11
"ENSMUSG00000056763",3,2,4,4
"ENSMUSG00000102356",0,0,0,0
"ENSMUSG00000067851",9,15,13,8
"ENSMUSG00000088153",0,0,0,0
"ENSMUSG00000102556",0,0,0,0
"ENSMUSG00000042501",1,0,0,1
"ENSMUSG00000103810",0,0,0,0
"ENSMUSG00000083422",0,0,0,0
"ENSMUSG00000094979",0,0,0,0
"ENSMUSG00000081417",0,0,0,0
"ENSMUSG00000103448",0,0,0,0
"ENSMUSG00000100212",0,0,0,0
"ENSMUSG00000100648",1,1,0,0
"ENSMUSG00000088585",0,0,0,0
"ENSMUSG00000048960",2,6,9,3
"ENSMUSG00000077318",0,0,0,0
"ENSMUSG00000101827",0,0,0,0
"ENSMUSG00000103494",0,0,0,0
"ENSMUSG00000057715",4,7,7,9
"ENSMUSG00000103825",0,0,0,0
"ENSMUSG00000099845",0,0,0,0
"ENSMUSG00000103561",0,0,0,0
"ENSMUSG00000101610",0,0,0,0
"ENSMUSG00000093864",0,0,0,0
"ENSMUSG00000098555",0,0,0,0
"ENSMUSG00000097628",0,0,0,0
"ENSMUSG00000098163",0,0,0,0
"ENSMUSG00000097171",0,0,0,0
"ENSMUSG00000101314",0,0,0,0
"ENSMUSG00000016918",10,1,5,0
"ENSMUSG00000025938",0,0,1,0
"ENSMUSG00000104518",0,0,0,0
"ENSMUSG00000069620",0,0,0,0
"ENSMUSG00000099498",0,0,0,0
"ENSMUSG00000042414",0,0,0,0
"ENSMUSG00000005886",10,6,11,11
"ENSMUSG00000103506",0,0,0,0
"ENSMUSG00000103495",0,0,0,0
"ENSMUSG00000099183",0,0,0,0
"ENSMUSG00000102639",0,0,0,0
"ENSMUSG00000104170",0,0,0,0
"ENSMUSG00000087782",0,0,0,0
"ENSMUSG00000103085",0,0,0,0
"ENSMUSG00000102664",0,0,0,0
"ENSMUSG00000101476",0,0,0,0
"ENSMUSG00000101171",0,0,0,0
"ENSMUSG00000025935",3,7,7,2
"ENSMUSG00000025937",2,0,2,0
"ENSMUSG00000102982",0,0,0,0
"ENSMUSG00000067813",0,0,0,0
"ENSMUSG00000077368",0,0,0,0
"ENSMUSG00000097711",0,0,0,0
"ENSMUSG00000102166",0,0,0,0
"ENSMUSG00000089358",0,0,0,0
"ENSMUSG00000104209",0,0,0,0
"ENSMUSG00000025932",3,2,5,2
"ENSMUSG00000095853",0,0,0,0
"ENSMUSG00000102588",0,0,0,0
"ENSMUSG00000054493",0,0,0,0
"ENSMUSG00000025930",0,1,0,1
"ENSMUSG00000103492",0,1,0,0
"ENSMUSG00000081201",0,0,0,0
"ENSMUSG00000082193",7,5,4,4
"ENSMUSG00000032769",0,0,0,0
"ENSMUSG00000088159",0,0,0,0
"ENSMUSG00000073737",1,1,1,0
"ENSMUSG00000092083",5,2,6,4
