"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033845",11.8917311672693,-0.193370688311263,0.752109426418064,-0.257104460493462,0.79709813429271,0.999946065340253
"ENSMUSG00000025903",2.43619185817896,1.160115657165,1.655784202517,0.700644235765431,0.483525064875238,NA
"ENSMUSG00000033813",12.0073637052855,0.591421554879119,0.761490017425299,0.776663569246508,0.437357285829618,0.999946065340253
"ENSMUSG00000002459",7.17644354511397,0.418274219282577,0.973331978180322,0.429734385244955,0.667388867620788,0.999946065340253
"ENSMUSG00000033793",58.1404211786108,0.200358491146892,0.376188454768062,0.53260138265121,0.594309544821112,0.999946065340253
"ENSMUSG00000025907",14.0179361191703,0.187096466567438,0.699284317905263,0.267554214754727,0.789042477656755,0.999946065340253
"ENSMUSG00000033740",3.1780710214004,1.09584634270655,1.45772286220265,0.751752182201974,0.452200103092722,NA
"ENSMUSG00000051285",21.3873386610304,0.168438925790063,0.578835715169125,0.290996082957404,0.77105431528994,0.999946065340253
"ENSMUSG00000025909",4.89625190077574,0.825672564894897,1.16272157005009,0.710120622307993,0.477629339008737,0.999946065340253
"ENSMUSG00000061024",6.20395445461635,-0.187958223452116,1.03726437644543,-0.181205705816511,0.856206116149362,0.999946065340253
"ENSMUSG00000025911",8.87511977290066,0.411669345235294,0.866383455986375,0.475158363644664,0.634674101504225,0.999946065340253
"ENSMUSG00000067879",63.003654107955,-0.0841997174704693,0.380091118832654,-0.221525085166593,0.824683606604593,0.999946065340253
"ENSMUSG00000045210",7.77060289456351,0.893463899894537,1.02384237045512,0.872657672388939,0.382849695350108,0.999946065340253
"ENSMUSG00000025915",3.67228985876609,0.525814890539006,1.33015812911554,0.395302542629753,0.692619623158759,NA
"ENSMUSG00000098234",5.44597953272538,-0.322279174719715,1.17835389783646,-0.273499476949533,0.784469294352927,0.999946065340253
"ENSMUSG00000025917",34.1232395150307,-0.111888586305704,0.469291127644544,-0.238420416911124,0.811555033537337,0.999946065340253
"ENSMUSG00000056763",8.1425185825105,0.362494636408114,0.907318771821295,0.399522910432532,0.689507945981493,0.999946065340253
"ENSMUSG00000067851",19.8808139645155,0.469986402581841,0.614510422732248,0.764814371239105,0.444382088877105,0.999946065340253
"ENSMUSG00000048960",6.67977045473922,0.447888331705055,1.05473228698946,0.424646459798314,0.671094419156359,0.999946065340253
