,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000102693,0.0,,,,,
ENSMUSG00000064842,0.0,,,,,
ENSMUSG00000051951,2.2289057006420054,-0.3812766740979372,1.6145927892073089,-0.23614417000160554,0.8133208002507231,0.9977348574443271
ENSMUSG00000102851,0.0,,,,,
ENSMUSG00000103377,0.0,,,,,
ENSMUSG00000104017,0.0,,,,,
ENSMUSG00000103025,0.0,,,,,
ENSMUSG00000089699,0.0,,,,,
ENSMUSG00000103201,0.0,,,,,
ENSMUSG00000103147,0.0,,,,,
ENSMUSG00000103161,0.0,,,,,
ENSMUSG00000102331,0.7699253687680095,-1.1056223263754046,2.952048072542665,-0.3745272093157708,0.7080121170622551,0.9977348574443271
ENSMUSG00000102348,0.0,,,,,
ENSMUSG00000102592,0.0,,,,,
ENSMUSG00000088333,0.0,,,,,
ENSMUSG00000102343,0.0,,,,,
ENSMUSG00000025900,0.0,,,,,
ENSMUSG00000102948,0.0,,,,,
ENSMUSG00000104123,0.0,,,,,
ENSMUSG00000025902,2.2529708232027867,-1.8669373340806998,1.7673398156157407,-1.0563544812293268,0.29080629381415235,0.9977348574443271
ENSMUSG00000104238,0.0,,,,,
ENSMUSG00000102269,0.48341275104621384,2.373611602231915,3.8838452450176804,0.6111498920501168,0.5411003525650703,0.9977348574443271
ENSMUSG00000096126,0.24020394578268983,1.3709728531122622,5.242151536482159,0.2615286573787752,0.7936848528963785,0.9977348574443271
ENSMUSG00000103003,0.0,,,,,
ENSMUSG00000104328,0.0,,,,,
ENSMUSG00000102735,0.0,,,,,
ENSMUSG00000098104,0.0,,,,,
ENSMUSG00000102175,0.0,,,,,
ENSMUSG00000088000,0.0,,,,,
ENSMUSG00000103265,0.0,,,,,
ENSMUSG00000103922,0.4843235376374425,-0.057741787015424983,3.54686488409329,-0.016279669201491424,0.987011277020096,0.9977348574443271
ENSMUSG00000033845,11.913841831808064,-0.19094112031885643,0.7183499873787648,-0.26580514188577387,0.7903892829814876,0.9977348574443271
ENSMUSG00000102275,0.24411959185475268,-1.496023787828331,5.214514526974321,-0.28689608209728895,0.7741918904814951,0.9977348574443271
ENSMUSG00000025903,2.4420396643830795,1.1618379150545592,1.5790091018235517,0.7358019112827067,0.461851257907266,0.9977348574443271
ENSMUSG00000104217,0.0,,,,,
ENSMUSG00000033813,12.034358451670926,0.5936911434154059,0.727973158742573,0.815539881224313,0.4147633459281753,0.9977348574443271
ENSMUSG00000062588,0.24320880526352404,1.3798731450381663,5.218856980743732,0.26440141014201973,0.7914706250429541,0.9977348574443271
ENSMUSG00000103280,0.24411959185475268,-1.496023787828331,5.214514526974321,-0.28689608209728895,0.7741918904814951,0.9977348574443271
ENSMUSG00000002459,7.190850575589354,0.4215185000319807,0.9274033119142213,0.4545147667867811,0.6494583659668833,0.9977348574443271
ENSMUSG00000091305,0.0,,,,,
ENSMUSG00000102653,0.0,,,,,
ENSMUSG00000085623,0.0,,,,,
ENSMUSG00000091665,0.0,,,,,
ENSMUSG00000033793,58.25834597659258,0.20265878763028952,0.36806091850507533,0.5506120792541982,0.5818996266214048,0.9977348574443271
ENSMUSG00000104352,0.0,,,,,
ENSMUSG00000104046,0.0,,,,,
ENSMUSG00000102907,0.0,,,,,
ENSMUSG00000025905,0.26335828175224274,-1.5495215952531407,5.076363814255234,-0.30524242389835,0.7601815235778038,0.9977348574443271
ENSMUSG00000103936,0.0,,,,,
ENSMUSG00000093015,0.0,,,,,
ENSMUSG00000103519,0.0,,,,,
ENSMUSG00000033774,0.7305372023818008,0.9498734171635281,3.003417233487707,0.3162642228234441,0.7518019645364838,0.9977348574443271
ENSMUSG00000103090,0.0,,,,,
ENSMUSG00000025907,14.047125329091024,0.18926468335678573,0.6687777397094627,0.2830008717679629,0.7771761687363232,0.9977348574443271
ENSMUSG00000090031,0.48040789156537966,2.36614065345832,4.119912458167862,0.5743181869719994,0.5657525042707601,0.9977348574443271
ENSMUSG00000087247,0.0,,,,,
ENSMUSG00000103355,0.0,,,,,
ENSMUSG00000102706,0.0,,,,,
ENSMUSG00000103845,0.0,,,,,
ENSMUSG00000033740,3.185805837700702,1.0986426310598834,1.390307189353412,0.790215744745467,0.4294017825027847,0.9977348574443271
ENSMUSG00000103329,0.0,,,,,
ENSMUSG00000104385,0.0,,,,,
ENSMUSG00000102135,0.0,,,,,
ENSMUSG00000103282,0.0,,,,,
ENSMUSG00000102534,0.0,,,,,
ENSMUSG00000102213,0.0,,,,,
ENSMUSG00000103629,0.0,,,,,
ENSMUSG00000051285,21.431299932395557,0.17045729654288327,0.5560405769655785,0.30655549901250345,0.7591817302597925,0.9977348574443271
ENSMUSG00000098201,0.0,,,,,
ENSMUSG00000103509,0.0,,,,,
ENSMUSG00000048538,0.0,,,,,
ENSMUSG00000103709,0.0,,,,,
