"","GeneID","Length","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000092952","ENSMUSG00000092952",81,-7.43148606908747,9.09483317343561,57.2806683158375,3.77850983483158e-14,3.30884106236201e-10
"ENSMUSG00000065450","ENSMUSG00000065450",112,-5.77082583818665,8.11318447753087,42.6273680893984,6.6226260708665e-11,2.8997168251289e-07
"ENSMUSG00000096812","ENSMUSG00000096812",78,-6.74040498420284,5.44754985231457,39.0487041368489,4.13363415223718e-10,1.20660780903803e-06
"ENSMUSG00000065457","ENSMUSG00000065457",70,-5.21099047809761,9.18948435829808,38.387895965853,5.79909627296624e-10,1.26956715155913e-06
"ENSMUSG00000065441","ENSMUSG00000065441",76,-5.17668009215044,11.2312744211538,35.581899791784,2.44549313368968e-09,3.44508927233419e-06
"ENSMUSG00000044349","ENSMUSG00000044349",8527,-5.75970537310863,5.81108101453373,35.3835085923548,2.7076983320655e-09,3.44508927233419e-06
"ENSMUSG00000094888","ENSMUSG00000094888",79,-6.2151929772641,4.94836462564911,35.3505779821824,2.75386832320878e-09,3.44508927233419e-06
"ENSMUSG00000070075","ENSMUSG00000070075",84,-5.06122250484275,7.33932819542514,34.5114863406441,4.23743367304074e-09,4.35787896523802e-06
"ENSMUSG00000093830","ENSMUSG00000093830",79,-6.16341280418198,5.63319296750158,34.2386647553606,4.87506736926695e-09,4.35787896523802e-06
"ENSMUSG00000065491","ENSMUSG00000065491",111,-4.95588638889898,8.55522096793974,34.198608715173,4.9764519415759e-09,4.35787896523802e-06
"ENSMUSG00000080669","ENSMUSG00000080669",85,-4.84349583330571,6.61863901025258,31.3882328326842,2.11257381327783e-08,1.65241651855691e-05
"ENSMUSG00000095714","ENSMUSG00000095714",78,-5.20780952725542,5.28716142729722,31.2535248755851,2.26435973765935e-08,1.65241651855691e-05
"ENSMUSG00000065537","ENSMUSG00000065537",66,-4.55656361416028,9.19318924074598,30.838367522979,2.80438098989481e-08,1.88907417911607e-05
"ENSMUSG00000064346","ENSMUSG00000064346",67,-5.0249610914958,5.05544327021194,29.798247418839,4.79425184047762e-08,2.99880452621875e-05
"ENSMUSG00000080331","ENSMUSG00000080331",98,-4.39406677950766,9.69251217694429,29.545381938478,5.4622643089697e-08,3.01787364954663e-05
"ENSMUSG00000065585","ENSMUSG00000065585",106,4.48198637445235,8.15846992635633,29.5271153908306,5.51398634152634e-08,3.01787364954663e-05
