"","GeneID","Length","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000020932","ENSMUSG00000020932",4218,2.46067126758114,10.5039654357878,99.4775247455179,1.98402171383099e-23,2.71156247629282e-19
"ENSMUSG00000073418","ENSMUSG00000073418",5695,2.57076460903961,7.74424906989664,87.8985018130399,6.89008423950301e-21,4.70833906506438e-17
"ENSMUSG00000030579","ENSMUSG00000030579",667,2.91350688395874,7.11710402662347,73.2775627168402,1.12641143895924e-17,4.89487348949044e-14
"ENSMUSG00000023992","ENSMUSG00000023992",4946,3.46562056317337,6.83701841606588,72.8029700633035,1.43261095763238e-17,4.89487348949044e-14
"ENSMUSG00000032011","ENSMUSG00000032011",2995,2.1389093223995,11.0939669666512,66.7240195718853,3.12306433968766e-16,8.53658406610225e-13
"ENSMUSG00000036887","ENSMUSG00000036887",1040,2.32627890126378,7.67435949101651,63.6060140342211,1.51964531162207e-15,3.46149874565646e-12
"ENSMUSG00000007891","ENSMUSG00000007891",2351,2.14331538905616,9.81624741679761,61.9887219251813,3.45430031619117e-15,6.74427463162638e-12
"ENSMUSG00000036905","ENSMUSG00000036905",1088,2.15485112342692,7.79396515297894,61.4568109293339,4.52562110705843e-15,7.73145795877095e-12
"ENSMUSG00000021091","ENSMUSG00000021091",2064,2.57684836532328,6.66887635423399,57.3912441296583,3.57193887312716e-14,5.42418761989210e-11
"ENSMUSG00000038642","ENSMUSG00000038642",1358,1.92454504366949,7.73607037350259,54.3196188244616,1.70392120352966e-13,2.32874910886399e-10
"ENSMUSG00000036896","ENSMUSG00000036896",1931,1.90904633450187,7.68494390991421,50.4157343745519,1.24392881575739e-12,1.54552501135966e-09
"ENSMUSG00000016256","ENSMUSG00000016256",1441,1.95633286898444,7.27694294764239,49.3216273827008,2.17254041353995e-12,2.47434248598754e-09
"ENSMUSG00000069516","ENSMUSG00000069516",1316,2.29080083110002,6.49733419154441,44.5859564010661,2.43431518589793e-11,2.55921428043592e-08
"ENSMUSG00000028581","ENSMUSG00000028581",3788,1.94002216032184,6.9938692840569,43.5683419566473,4.09408845285787e-11,3.99670763465775e-08
"ENSMUSG00000021665","ENSMUSG00000021665",1906,1.68145075168542,7.29659934610804,38.8983139051363,4.46466064357417e-10,4.06790113438188e-07
"ENSMUSG00000027848","ENSMUSG00000027848",6161,2.34022345695569,5.81602631798535,32.8204255943361,1.01077178452169e-08,8.63388623691123e-06
"ENSMUSG00000028859","ENSMUSG00000028859",3609,4.71117912080851,4.64019566526402,32.3103867568257,1.31409014488654e-08,1.05645117706849e-05
"ENSMUSG00000025232","ENSMUSG00000025232",1996,1.4950875677219,7.27268761345328,31.5717154252026,1.92208887167039e-08,1.45939936717329e-05
"ENSMUSG00000034708","ENSMUSG00000034708",3474,1.42745658044677,7.38759375971068,29.0706932611931,6.9784696253813e-08,5.01972338789928e-05
"ENSMUSG00000033880","ENSMUSG00000033880",2847,1.83399742424406,6.40704955894417,27.3394459989753,1.70693539294347e-07,0.000116643430076792
